#{"t_start": 1745655762.2964783, "env_id": "parking-v0"}
r,l,t
-10.729234,24,4.061004
-92.146298,167,6.323887
-87.91694,147,7.950073
-60.354562,105,9.207515
-17.018912,33,9.618114
-140.238875,266,12.788216
-20.958175,51,13.589015
-56.194807,89,14.820934
-48.301914,99,16.443744
-20.303224,42,17.480431
-18.582321,28,19.807062
-40.123727,101,22.694635
-165.950917,380,32.935834
-25.25518,42,35.183751
-22.445097,41,36.334308
-17.473285,29,37.086249
-40.225629,96,39.638063
-8.761705,20,40.33001
-166.311102,500,53.585658
-60.999226,109,56.698094
-285.351242,500,90.182126
-261.88968,500,104.895722
-203.667288,500,118.099013
-68.411986,137,121.361376
-27.83042,67,122.960385
-22.510318,45,124.061635
-157.08535,263,130.397777
-35.294167,83,132.353556
-75.935584,124,135.405324
-11.336525,25,136.001893
-98.967163,216,149.082712
-10.480958,21,150.505249
-46.65968,102,153.25686
-10.345605,22,153.793381
-18.055585,48,154.874674
-59.929179,149,158.451774
-46.943011,95,160.618377
-72.006364,176,164.813242
-6.976434,15,165.183779
-17.825461,37,166.030488
-57.090233,108,172.427513
-188.230723,378,182.229663
-43.492062,73,184.036164
-235.247678,479,195.069172
-43.659987,83,197.188236
-65.366194,147,201.337249
-10.631223,21,201.833977
-21.356454,31,202.730027
-169.331934,500,214.70287
-212.195025,500,226.282725
-181.692666,471,256.513197
-47.417434,80,260.166101
-12.930176,27,260.858387
-12.425954,24,261.460721
-20.879018,45,262.59496
-263.083326,500,273.822821
-217.242846,500,285.565552
-218.290015,500,296.863101
-22.085656,42,297.805673
-20.908738,47,298.975869
-240.906482,500,328.479821
-22.148598,48,331.761522
-188.543878,500,343.794404
-163.340876,259,351.299223
-75.987627,133,355.165089
-13.460325,20,355.773169
-11.20914,29,356.765646
-47.077,87,359.039359
-12.697448,29,360.094772
-118.950273,363,370.028285
-25.587215,53,374.169279
-99.517635,212,380.654356
-20.124398,43,381.815674
-16.487359,47,382.953218
-8.467177,23,383.544275
-258.433523,500,399.214729
-22.684305,56,400.637921
-109.56468,169,404.805063
-274.348188,481,417.182662
-121.576948,300,424.610711
-159.916619,376,447.851874
-185.504214,500,461.46217
-62.388715,115,464.389073
-10.878097,27,465.103906
-219.902957,500,478.452823
-16.497266,37,479.359528
-12.471702,30,480.139564
-9.162815,13,480.480107
-22.652874,41,481.530164
-9.646396,23,482.177973
-61.672005,140,490.815757
-234.533917,500,504.92751
-59.869756,182,511.401388
-21.434561,35,512.3066
-6.963997,14,512.804437
-291.392634,500,526.838348
-12.780002,29,527.529724
-16.08382,34,528.34495
-19.791854,47,529.620935
-8.846856,19,530.14333
-13.507269,28,531.916961
-8.572422,19,532.655403
-21.259628,61,534.366926
-10.583758,22,535.103168
-14.303312,28,536.677248
-183.005599,500,551.204152
-11.753725,24,551.867889
-29.011413,73,553.702367
-26.812034,58,555.183506
-17.495689,44,556.251149
-18.35559,40,558.67597
-13.771472,22,559.558264
-85.638772,247,566.494646
-13.763783,23,567.122273
-211.775533,391,578.829394
-6.388915,16,579.237292
-19.682694,49,580.48573
-9.095702,16,580.893515
-10.527503,23,581.606542
-10.719746,20,582.165358
-20.592322,38,584.726061
-27.883298,66,586.863703
-48.059147,78,588.952378
-31.917894,77,591.44582
-24.44783,48,592.856563
-22.445263,45,594.085238
-28.861598,63,595.919705
-17.900408,29,596.745848
-10.121472,23,597.403998
-26.68499,59,599.072979
-12.079746,29,601.249274
-15.971903,52,603.228882
-10.434097,25,604.205042
-13.862851,28,605.082966
-11.981941,22,605.827282
-6.588445,18,606.350939
-18.647951,44,609.657849
-11.381311,19,610.606718
-38.930041,86,614.027885
-16.163147,46,616.470452
-19.138321,46,619.668305
-17.354665,32,621.011831
-22.760492,39,622.189824
-13.228902,32,623.149791
-15.223107,32,624.034477
-20.52426,56,625.525701
-13.286771,31,626.226807
-10.740843,16,626.642785
-11.17083,21,627.295685
-9.363489,22,627.888273
